,State,Code,Count,#ofApplicants,#ofGrantees,ConversionRate,%ofApplicants,%ofGrantees,PatentCategory,PatentCategory%
0,Alabama,AL,42178180,10572.0,8992.0,85.0548618993568,0.025065092898745277,0.02131908014997328,Chemical Grantee,0.02832229999999999
1,Alaska,AK,6408880,1035.0,847.0,81.83574879227054,0.01614946761368601,0.01321603774762517,Chemical Grantee,0.010159600000000001
2,Arizona,AZ,49827590,42810.0,35747.0,83.5015183368372,0.08591625643544068,0.07174137862176357,Chemical Grantee,0.06318169999999997
3,Arkansas,AR,25234430,4843.0,3932.0,81.18934544703697,0.019192032473093312,0.015581885542887239,Chemical Grantee,0.016106399999999993
4,California,CA,325561500,522238.0,444906.0,85.19219206568653,0.16041147371541167,0.13665805078303178,Chemical Grantee,0.12205980000000005
5,Colorado,CO,46262210,53910.0,44420.0,82.39658690409942,0.11653139787312365,0.09601789451909021,Chemical Grantee,0.08854009999999997
6,Connecticut,CT,34732300,52248.0,41252.0,78.95421834328586,0.15043057902874268,0.11877128782142271,Chemical Grantee,0.19292500000000012
7,Delaware,DE,8317030,11101.0,8621.0,77.65967029997297,0.13347312682532106,0.10365479023160913,Chemical Grantee,0.4198300000000002
8,District of Columbia,DC,5283940,2728.0,1871.0,68.58504398826979,0.05162814112196581,0.03540918329882625,Chemical Grantee,0.03816440000000001
9,Florida,FL,169018300,67087.0,54657.0,81.47182017380416,0.03969215167825023,0.032337918438417615,Chemical Grantee,0.031545139999999965
10,Georgia,GA,82197590,44126.0,34957.0,79.22086751575034,0.05368283911973575,0.04252801085773926,Chemical Grantee,0.05486838000000003
11,Hawaii,HI,12794030,2674.0,1996.0,74.64472700074795,0.02090037306462467,0.015601026416226944,Chemical Grantee,0.013511600000000004
12,Idaho,ID,13437930,15340.0,13402.0,87.36636245110822,0.1141544865913128,0.09973262250956806,Chemical Grantee,0.10512410000000014
13,Illinois,IL,121544440,104432.0,85496.0,81.86762678106328,0.08592083685605034,0.07034135004447756,Chemical Grantee,0.09149441000000007
14,Indiana,IN,61772650,41912.0,34439.0,82.16978430998282,0.06784879716185076,0.055751210284810504,Chemical Grantee,0.06555190000000002
15,Iowa,IA,29443520,17662.0,15792.0,89.41229758804212,0.059986034278510174,0.05363489148036647,Chemical Grantee,0.046619199999999965
16,Kansas,KS,26810170,12402.0,11316.0,91.24334784712144,0.04625856531308828,0.042207863657709,Chemical Grantee,0.0406581
17,Kentucky,KY,39051410,14431.0,11826.0,81.94858291178713,0.036953851346212596,0.030283157509549588,Chemical Grantee,0.03999150000000003
18,Louisiana,LA,39131630,9137.0,7635.0,83.56134398599102,0.023349397916723632,0.019511070711851257,Chemical Grantee,0.045406300000000004
19,Maine,ME,13310980,4895.0,3779.0,77.20122574055158,0.03677415186560268,0.028390095995937187,Chemical Grantee,0.036466600000000016
20,Maryland,MD,54919690,46140.0,35096.0,76.06415257910707,0.08401358419903682,0.06390422087233195,Chemical Grantee,0.08238600000000003
21,Massachusetts,MA,63522480,133595.0,104002.0,77.84872188330402,0.21031137323353874,0.16372471603753508,Chemical Grantee,0.20554150000000004
22,Michigan,MI,96932190,105860.0,88904.0,83.98261855280559,0.10921036654593277,0.09171772555639153,Chemical Grantee,0.0885664300000001
23,Minnesota,MN,51704680,84097.0,67370.0,80.10987312270355,0.16264871961300215,0.13029768291767788,Chemical Grantee,0.1504575000000002
24,Mississippi,MS,25023530,4160.0,3393.0,81.5625,0.01662435315880693,0.013559238045151903,Chemical Grantee,0.024584400000000024
25,Missouri,MO,55837550,25478.0,17732.0,69.59729963105424,0.04562879281057281,0.0317564076504073,Chemical Grantee,0.04518200000000001
26,Montana,MT,9482230,3532.0,2733.0,77.37825594563986,0.037248621895904235,0.02882233398683643,Chemical Grantee,0.04403950000000004
27,Nebraska,NE,17392120,5732.0,4918.0,85.79902302861132,0.03295745429539355,0.02827717380054875,Chemical Grantee,0.02823309999999998
28,Nevada,NV,22791100,11026.0,8515.0,77.22655541447487,0.04837853372588422,0.0373610751565304,Chemical Grantee,0.0275378
29,New Hampshire,NH,13735650,18961.0,15646.0,82.51674489742102,0.13804224772762846,0.11390796940807316,Chemical Grantee,0.10053089999999988
30,New Jersey,NJ,86379550,102578.0,82078.0,80.01520793932421,0.11875264457849109,0.09502017549292628,Chemical Grantee,0.16525220000000027
31,New Mexico,NM,17174440,10085.0,9128.0,90.5106593951413,0.058720983042241846,0.053148748954842194,Chemical Grantee,0.10103869999999994
32,New York,NY,176144920,156411.0,129000.0,82.47501774171894,0.08879677029573149,0.07323515205547795,Chemical Grantee,0.10485172000000005
33,North Carolina,NC,83243880,62320.0,50293.0,80.70121951219512,0.07486436240117592,0.06041645343777825,Chemical Grantee,0.06231280999999997
34,North Dakota,ND,6551100,2295.0,1878.0,81.83006535947712,0.035032284654485504,0.028666941429683564,Chemical Grantee,0.036772099999999995
